GEOID,NAME,mean_noise,max_noise,min_noise
06001442700,4427,60.030841643741404,86.23973083496094,45.01606750488281
06001442800,4428,60.857663904899134,85.59547424316406,45.04878616333008
06037204920,2049.20,57.25184733072917,87.71072387695312,45.03654479980469
06037205110,2051.10,55.101171875,73.63612365722656,45.21922302246094
06037205120,2051.20,56.199094229634,76.095947265625,45.00373840332031
06037206010,2060.10,58.09182212103408,84.58638000488281,45.03654479980469
06037206020,2060.20,60.01903572899506,86.2469482421875,45.06910705566406
06037206050,2060.50,61.267133057491286,90.46885681152344,45.035179138183594
06037111402,1114.02,59.312760913645036,74.8685531616211,45.06098937988281
06037111303,1113.03,56.95444979408915,74.8685531616211,45.0528564453125
06037104321,1043.21,56.61092748397436,73.98461151123047,45.04335021972656
06037104322,1043.22,59.02538680283757,85.24395751953125,45.00236511230469
06037108203,1082.03,50.0086784362793,50.0086784362793,50.0086784362793
06037320101,3201.01,48.0337148813101,52.38296890258789,45.024269104003906
06037920121,9201.21,60.74858657740774,87.13993835449219,45.01606750488281
06037231901,2319.01,56.58043323863637,72.76231384277344,45.0324592590332
06037232402,2324.02,53.926690204326924,74.3344955444336,45.00785446166992
06037135204,1352.04,54.88099841101695,71.88084411621094,45.00373840332031
06037460101,4601.01,50.20704465818078,61.57456970214844,45.02153778076172
06037132302,1323.02,51.01693160445602,56.7320556640625,45.43819808959961
06037135115,1351.15,57.93831010298295,76.42464447021484,45.07450866699219
06037132301,1323.01,55.010231018066406,72.78524780273438,45.00099182128906
06037134907,1349.07,52.02719079442771,62.198463439941406,45.22444152832031
06037119003,1190.03,58.853048354130806,89.50023651123047,45.01743698120117
06037111401,1114.01,57.98291015625,74.88832092285156,45.0064811706543
06037103401,1034.01,60.41248937630753,84.78999328613281,45.01880645751953
06037207400,2074,59.2847683630257,85.92731475830078,45.03791046142578
06001442900,4429,61.06273193359375,86.85652160644531,45.00922393798828
06037192410,1924.10,54.48915479957806,72.96006774902344,45.09067916870117
06037192510,1925.10,58.2905140442607,75.22183227539062,45.03382110595703
06037192520,1925.20,55.105764288651315,72.95787048339844,45.09739685058594
06037192610,1926.10,61.010868275316454,86.90727233886719,45.12150573730469
06037192700,1927,60.74970456932773,86.94253540039062,45.00099182128906
06037194500,1945,57.350673686594206,75.77262115478516,45.00785446166992
06037195100,1951,54.304890422077925,72.65760803222656,45.00922393798828
06037195300,1953,55.491539031620555,75.50595092773438,45.011962890625
06095252204,2522.04,60.702126485228,86.22421264648438,45.00236511230469
06095252203,2522.03,55.765849609375,87.86111450195312,45.00510787963867
06095253501,2535.01,55.01237627614542,78.35816955566406,45.00099182128906
06095252205,2522.05,59.64362134344529,87.86111450195312,45.00373840332031
06095252206,2522.06,57.43466526679842,86.22421264648438,45.00236511230469
06095253207,2532.07,51.76979712041885,67.84831237792969,45.05014419555664
06095253502,2535.02,52.84796245100784,78.35816955566406,45.0064811706543
06095253208,2532.08,53.16922151199495,67.84831237792969,45.01606750488281
06001443001,4430.01,55.563798113567074,74.02261352539062,45.0324592590332
06001443002,4430.02,52.92104184877623,74.02088928222656,45.09067916870117
06001443102,4431.02,59.98140533625731,84.81299591064453,45.03109359741211
06001443301,4433.01,59.31650833906465,85.32244873046875,45.010589599609375
06037137501,1375.01,57.43550392670157,84.52552795410156,45.020172119140625
06037137502,1375.02,58.867419842007436,84.3520736694336,45.025634765625
06001444100,4441,56.8641050170068,83.25104522705078,45.00099182128906
06001444200,4442,53.42515423201107,79.72711944580078,45.00236511230469
06037195500,1955,56.78203297081498,82.92034149169922,45.00099182128906
06037195600,1956,59.03760150098425,79.93392181396484,45.00922393798828
06037195710,1957.10,59.785596282114625,89.23191833496094,45.00099182128906
06037195720,1957.20,61.810617897727276,89.23191833496094,45.04742431640625
06001444400,4444,55.367982437668466,73.24282836914062,45.00510787963867
