"Label (Grouping)","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error"
"        Housing units with a mortgage","5,097,604","±23,877","67.4%","±0.1"
"        Housing units without a mortgage","2,469,964","±16,435","32.6%","±0.1"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","5,097,604","±23,877","5,097,604","(X)"
"        Less than $500","24,942","±1,207","0.5%","±0.1"
"        $500 to $999","108,207","±2,730","2.1%","±0.1"
"        $1,000 to $1,499","356,706","±4,883","7.0%","±0.1"
"        $1,500 to $1,999","638,822","±6,660","12.5%","±0.1"
"        $2,000 to $2,499","760,193","±7,257","14.9%","±0.1"
"        $2,500 to $2,999","739,843","±6,421","14.5%","±0.1"
"        $3,000 or more","2,468,891","±13,080","48.4%","±0.1"
"        Median (dollars)","2,946","±5","(X)","(X)"
"    Housing units without a mortgage","2,469,964","±16,435","2,469,964","(X)"
"        Less than $250","96,636","±2,563","3.9%","±0.1"
"        $250 to $399","202,468","±4,022","8.2%","±0.2"
"        $400 to $599","420,221","±5,198","17.0%","±0.2"
"        $600 to $799","457,104","±5,676","18.5%","±0.2"
"        $800 to $999","377,536","±5,089","15.3%","±0.2"
"        $1,000 or more","915,999","±8,184","37.1%","±0.3"
"        Median (dollars)","829","±3","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","5,068,483","±24,024","5,068,483","(X)"
"        Less than 20.0 percent","1,819,344","±15,952","35.9%","±0.2"
"        20.0 to 24.9 percent","745,175","±8,973","14.7%","±0.2"
"        25.0 to 29.9 percent","565,413","±6,895","11.2%","±0.1"
"        30.0 to 34.9 percent","417,255","±5,473","8.2%","±0.1"
"        35.0 percent or more","1,521,296","±8,868","30.0%","±0.2"
"        Not computed","29,121","±1,314","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","2,431,837","±16,502","2,431,837","(X)"
"        Less than 10.0 percent","1,084,671","±10,648","44.6%","±0.3"
"        10.0 to 14.9 percent","429,562","±5,460","17.7%","±0.2"
"        15.0 to 19.9 percent","244,252","±4,348","10.0%","±0.2"
"        20.0 to 24.9 percent","154,229","±3,476","6.3%","±0.1"
"        25.0 to 29.9 percent","101,139","±2,331","4.2%","±0.1"
"        30.0 to 34.9 percent","71,748","±1,606","3.0%","±0.1"
"        35.0 percent or more","346,236","±3,656","14.2%","±0.2"
"        Not computed","38,127","±1,701","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","5,783,331","±22,650","5,783,331","(X)"
"        Less than $500","210,063","±3,908","3.6%","±0.1"
"        $500 to $999","417,887","±6,608","7.2%","±0.1"
"        $1,000 to $1,499","937,200","±9,138","16.2%","±0.2"
"        $1,500 to $1,999","1,244,143","±9,310","21.5%","±0.1"
"        $2,000 to $2,499","1,146,906","±9,335","19.8%","±0.1"
"        $2,500 to $2,999","722,626","±7,499","12.5%","±0.1"
"        $3,000 or more","1,104,506","±9,625","19.1%","±0.1"
"        Median (dollars)","2,036","±5","(X)","(X)"
"        No rent paid","197,192","±3,964","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","5,673,625","±21,716","5,673,625","(X)"
"        Less than 15.0 percent","589,371","±5,686","10.4%","±0.1"
"        15.0 to 19.9 percent","631,639","±6,550","11.1%","±0.1"
"        20.0 to 24.9 percent","678,848","±6,438","12.0%","±0.1"
"        25.0 to 29.9 percent","635,448","±6,640","11.2%","±0.1"
"        30.0 to 34.9 percent","530,360","±6,315","9.3%","±0.1"
"        35.0 percent or more","2,607,959","±15,685","46.0%","±0.2"
"        Not computed","306,898","±5,218","(X)","(X)"
