zcta,noise_mean_db,noise_max_db,noise_min_db,median_household_income,unemployment_rate,population,pnhwhite,pnhblack,phispanic,pforeign_born,punemployed,affluence,disadvantage,median_family_income,home_value,poverty_rate
90001,55.2800642581198,74.54230161353979,45.10288354816355,60767.0,54.3,57652.0,0.006469853688,0.0693471208215,0.9130992889404,0.4092832803726,0.1000261679292,0.1116878688335,0.2466089129448,59176.0,593881.1942944229,16.7
90002,55.5519041030779,74.36780481576069,45.06186265859162,59021.0,55.3,53108.0,0.0037659108639,0.1524440795183,0.8240942955017,0.3472734689713,0.1129671558738,0.1070828735828,0.2980192899704,57212.0,594950.6855428707,21.4
90003,57.612337333047826,83.35045497647266,45.05254327599971,56030.0,55.6,75024.0,0.0047184899449,0.1615616381168,0.8154590725899,0.3982192277908,0.0950171351433,0.1003658920527,0.3250367939472,53272.0,607194.401805317,23.3
90004,56.249286359831906,74.9413741668165,45.100273208019836,64826.0,64.3,58833.0,0.205802872777,0.0419662445784,0.4658949971199,0.4651301205158,0.0735302641988,0.3346469700336,0.2263287603855,63444.0,1450674.51456163,13.9
90005,54.85474545541583,69.56541857917856,45.16318296056883,49419.0,65.3,37754.0,0.1011548414826,0.0497430749238,0.4927424788475,0.5409758090973,0.0472404956818,0.3118101656437,0.2376002669334,58545.0,894444.8325248426,17.3
90006,54.92070205609106,70.71888415632311,45.11728948031884,51998.0,60.2,56628.0,0.0514056645334,0.0285900961608,0.7245532274246,0.5469025969505,0.0555977411568,0.1788508594036,0.2772499024868,49182.0,757348.2180237757,20.7
90007,57.50386951930624,82.1843203265677,45.11859820365524,35378.0,49.4,41004.0,0.1587162166834,0.0807238295674,0.5391913056374,0.4192030131817,0.1248091608286,0.2498046010733,0.3333687484264,49028.0,900870.502815485,20.4
90008,54.80185959683666,72.14900089022308,45.350785271500726,61846.0,56.0,33076.0,0.0564457625151,0.6217801570892,0.263091057539,0.2044382691383,0.0893008559942,0.3210726380348,0.1905402094126,77748.0,1078515.997195123,14.6
90009,58.3066161234319,88.59618377685547,45.0064811706543,,,,,,,,,,,,,
90010,56.13580556552573,73.28949185583623,45.109845615626156,101455.0,67.4,4185.0,0.1672640442848,0.0497013144195,0.0786141008139,0.583512544632,0.0289226323366,0.4809974730015,0.1122743785381,83750.0,975813.8160922432,4.6
90011,55.30865486111727,72.75199028504052,45.096873468192925,59017.0,58.3,106042.0,0.0075536109507,0.0542992390692,0.9210407137871,0.4515475034714,0.1045170500875,0.1104706972837,0.3227637410164,50345.0,602357.175498667,21.9
90012,59.95776729473698,87.03061090576678,45.0943252774038,66860.0,48.9,38430.0,0.1863127797842,0.1285714358091,0.2751756310463,0.4101223051548,0.0806575790048,0.3996757864952,0.2681474685669,68087.0,602362.4474063222,18.6
90013,57.83747620141807,88.33146667480469,45.164031982421875,36948.0,52.3,14587.0,0.2757935225964,0.2720230221748,0.2393912374973,0.2049084752798,0.1670218408108,0.4701712429523,0.2996791303158,108500.0,604553.1410822031,4.7
90014,58.26181630021715,89.1566390991211,45.00236511230469,31000.0,54.0,9273.0,0.2729429602623,0.1965922564268,0.2557964026928,0.30238327384,0.1156526654959,0.4709174335003,0.3103264272213,110784.0,541981.2563588558,12.6
90015,59.42870384556274,85.08493258243648,45.07189761200677,69268.0,64.6,25554.0,0.1417390555143,0.0833529010415,0.5243797302246,0.4200125336647,0.0714285746217,0.3936284482479,0.252431422472,54610.0,615078.2061700613,25.8
90016,58.26056625499381,83.29925318567633,45.068290099296355,73516.0,62.1,47309.0,0.1037646085024,0.2669893801212,0.5456889867783,0.3107019662857,0.0732813552022,0.31164047122,0.1847992986441,71489.0,944420.1629104835,16.3
90017,53.325508781430884,64.9500768305715,45.36942267968481,52717.0,64.5,28754.0,0.1128886416554,0.1241914182901,0.5718856453896,0.4454684555531,0.0622871667147,0.294802904129,0.3673031330109,38680.0,581628.8969874367,28.7
90018,56.69830965671508,78.22068350178438,45.09776231993983,62864.0,56.6,49898.0,0.0785001367331,0.2345985770226,0.5868772268295,0.3830013275146,0.0801429674029,0.2584741711617,0.2410609126091,69225.0,841708.1967844344,14.4
90019,56.01237371646227,73.83642085785424,45.077704559701665,73934.0,61.4,59410.0,0.1750378757715,0.1762161254883,0.4350614249706,0.3745665848255,0.0848404616117,0.3649317026138,0.1956436485052,77387.0,1243555.1057513943,12.4
