tract_id,tract_name,noise_mean_db,noise_max_db,noise_min_db
6073008331,83.31,56.32814719460227,81.84123229980469,45.00373840332031
6073008336,83.36,52.55751415567661,60.831443786621094,45.011962890625
6073008337,83.37,58.44701163116592,81.62863159179688,45.01606750488281
6073011601,116.01,51.53438983386076,59.5245361328125,45.22313690185547
6073011602,116.02,55.575460231050535,82.5911636352539,45.00236511230469
6073011700,117.0,51.98077340411325,62.643455505371094,45.02700424194336
6073011801,118.01,51.68419958043982,59.01622009277344,45.03791046142578
6073013307,133.07,53.48029940390173,62.96006774902344,45.03791046142578
6073013308,133.08,60.45079296875,83.96548461914062,45.08933639526367
6073013309,133.09,59.57588175195451,87.50508117675781,45.01743698120117
6073013312,133.12,60.2391236283397,85.76571655273438,45.025634765625
6073008343,83.43,54.30352909482759,71.43639373779297,45.00785446166992
6073008344,83.44,57.35194243920973,83.22632598876953,45.09202575683594
6073008345,83.45,62.21918772838002,86.2991943359375,45.06910705566406
6073013401,134.01,56.3804802955665,84.9192123413086,45.00785446166992
6073013409,134.09,59.32938344594594,88.41609954833984,45.00373840332031
6073015601,156.01,55.30009443681319,71.84123229980469,45.01743698120117
6073015701,157.01,52.87605628188776,71.80699157714844,45.09336853027344
6073008348,83.48,56.52023354388298,73.29601287841797,45.04606628417969
6073008349,83.49,55.434527667849345,71.61367797851562,45.113487243652344
6073008351,83.51,53.97402125929368,71.61367797851562,45.01470184326172
6073008352,83.52,51.809066676493714,58.15311813354492,45.044708251953125
6073008353,83.53,51.59128262134308,61.8012580871582,45.0542106628418
6073015801,158.01,52.40566530652866,64.40751647949219,45.221832275390625
6073015901,159.01,52.65832876461988,62.43782043457031,45.0528564453125
6073015902,159.02,52.49058622472427,62.08441162109375,45.250450134277344
6073016000,160.0,58.00219635803904,87.46945190429688,45.010589599609375
6073008355,83.55,53.13873597369691,71.7172622680664,45.09067916870117
6073008356,83.56,51.045969893292686,58.15311813354492,45.011962890625
6073008357,83.57,55.96153444918398,73.31022644042969,45.056922912597656
6073008358,83.58,54.16354417067308,73.29601287841797,45.01470184326172
6073008359,83.59,56.6656756612628,84.046630859375,45.0064811706543
6073016401,164.01,55.961669126628664,79.56936645507812,45.00099182128906
