zcta,population,pnhwhite,pnhblack,phispanic,pforeign_born,punemployed,poverty_rate,affluence,disadvantage,median_family_income
00601,16834,0.0042176549323,0.0010098610073,0.993584394455,0.0027919686399,0.22416639328,0.6217616796494,0.1416722685099,0.676017999649,19628.0
00602,37642,0.0437277518213,2.65660692e-05,0.9459646344185,0.0071728387848,0.0768346711993,0.4736870229244,0.1561276614666,0.5973837375641,24126.0
00603,49075,0.0139378504828,0.0006113091949,0.9809678792953,0.0127967400476,0.1613585501909,0.4868021309376,0.19705106318,0.5702557563782,24062.0
00606,5590,0.0067978533916,0.0,0.993202149868,0.008586762473,0.057280883193,0.540429353714,0.0649080500007,0.6358803510666,21439.0
00610,25542,0.0293242502958,0.0047764466144,0.9634719491005,0.0055203195661,0.0828966647387,0.4564849436283,0.1564851403236,0.568812251091,26914.0
00611,1315,0.0433460064232,0.0,0.9566540122032,0.0083650192246,0.2106194645166,0.4463878273964,0.1805631071329,0.5743554234505,24600.0
00612,63312,0.0028746526223,0.0010266616009,0.9936978816986,0.0090030329302,0.1799286305904,0.4331213235855,0.1944327354431,0.5423067808151,28325.0
00616,9625,0.0024935065303,0.0,0.9975064992905,0.0015584415523,0.1589261740446,0.4370578527451,0.1454204171896,0.533007979393,27305.0
00617,22573,0.0045629735105,0.0,0.9910955429077,0.0054932883941,0.1575617492199,0.4618112444878,0.1792668104172,0.5698077082634,22624.0
00622,7577,0.013857726939,0.0,0.9861422777176,0.0224363207817,0.1500547677279,0.4646464586258,0.1595068275928,0.5335519313812,26383.0
00623,39406,0.0036288890988,0.0006344211288,0.9911942481995,0.0104552609846,0.1451549679041,0.4131819009781,0.2070723325014,0.5001171827316,28896.0
00624,21648,0.0037878789008,0.0029563931748,0.9932557344437,0.0024020695128,0.1158983185887,0.5164732933044,0.1724217534065,0.6180347204208,22325.0
00627,32733,0.0064155440778,6.11004216e-05,0.991629242897,0.0117312800139,0.0537128932774,0.4167972803116,0.1678104102612,0.5487676262856,27481.0
00631,1431,0.0,0.0,1.0,0.0055904961191,0.1771561801434,0.5957746505737,0.2007004916668,0.7145637869835,18929.0
00637,22882,0.0085219824687,4.37024719e-05,0.9902980327606,0.0016169914743,0.1068712845445,0.4551451206207,0.1795648932457,0.5420183539391,25081.0
00638,17605,0.0071570575237,0.0,0.992842912674,0.0036353308242,0.1795957684517,0.5506238937378,0.1117289140821,0.6678360104561,23112.0
