zcta,noise_mean_db,noise_max_db,noise_min_db
90001,55.2800642581198,74.54230161353979,45.10288354816355
90002,55.5519041030779,74.36780481576069,45.06186265859162
90003,57.612337333047826,83.35045497647266,45.05254327599971
90004,56.249286359831906,74.9413741668165,45.100273208019836
90005,54.85474545541583,69.56541857917856,45.16318296056883
90006,54.92070205609106,70.71888415632311,45.11728948031884
90007,57.50386951930624,82.1843203265677,45.11859820365524
90008,54.80185959683666,72.14900089022308,45.350785271500726
90009,58.3066161234319,88.59618377685547,45.0064811706543
90010,56.13580556552573,73.28949185583623,45.109845615626156
90011,55.30865486111727,72.75199028504052,45.096873468192925
90012,59.95776729473698,87.03061090576678,45.0943252774038
90013,57.83747620141807,88.33146667480469,45.164031982421875
90014,58.26181630021715,89.1566390991211,45.00236511230469
90015,59.42870384556274,85.08493258243648,45.07189761200677
90016,58.26056625499381,83.29925318567633,45.068290099296355
90017,53.325508781430884,64.9500768305715,45.36942267968481
90018,56.69830965671508,78.22068350178438,45.09776231993983
90019,56.01237371646227,73.83642085785424,45.077704559701665
90020,54.46069190877883,67.29883214636807,45.2881399498813
90021,58.682284779821,88.04105466790301,45.00236511230469
90022,56.536868425909724,79.57994653954336,45.03945335996254
90023,58.237740340611005,83.63045175090099,45.07163411671459
90024,54.85043287848408,69.59994724402729,45.10143356302035
90025,56.455638053111976,82.5251836016275,45.08653585234747
90026,57.66365186571337,81.36466759139469,45.151835686636076
90027,56.106796843573825,75.0896143196728,45.065278644333084
90028,57.766966954758736,80.06442016387848,45.04784250186471
90029,56.93692903271234,77.69910101943903,45.0867897403937
90030,56.42578643070292,75.29173278808594,45.00922393798829
90031,58.095556387591095,81.89912154333106,45.05368861107185
90032,55.52474302925885,73.14613505497516,45.107841019200045
90033,57.38789695898968,77.880752479115,45.07691303710658
90034,57.53934328957654,79.42172061338492,45.05459804767095
90035,55.279979177896024,73.13375297559524,45.06250719785758
90036,56.07606341288297,73.1499492197832,45.06725880971147
90037,57.59045284296748,79.33961210383741,45.04173141051798
90038,56.31801369924618,79.46833691760621,45.049031692149896
90039,57.33445724693228,84.69561265215225,45.020114211304396
90040,58.68531271443628,87.81982670284123,45.012879893181456
90041,55.109910872599386,74.52752187069393,45.0413634490344
90042,54.87375090514238,70.98468899297804,45.096948486517014
90043,55.34532280669373,73.68444310752407,45.0431031668213
90044,57.991141898611644,81.05861084443607,45.06008738790841
90045,56.49713032219581,78.0664115424417,45.022776339602515
90046,55.11107638699003,73.7886990846253,45.12439894695775
90047,55.417610447635084,75.33639332602303,45.02850514692802
90048,56.96036102079384,75.83233870753703,45.04975501166591
90049,57.259819587338235,79.93110000736216,45.07730481618008
90050,54.91648536392405,72.314697265625,45.02973175048828
90051,56.42578643070292,75.29173278808594,45.00922393798828
90052,56.42578643070292,75.29173278808594,45.00922393798828
90053,59.2847683630257,85.92731475830078,45.03791046142578
90054,56.425786430702914,75.29173278808594,45.00922393798829
90056,56.273511901295876,76.25703079235234,45.0350140626312
90057,55.09503562288618,70.27974165468748,45.17724769811326
90058,56.085983041121175,75.25570386182879,45.11503762942791
90059,57.69805361000535,80.36588607124735,45.04680260687351
90060,56.42578643070292,75.29173278808594,45.00922393798828
90061,58.453953760543,84.98082035699386,45.03993353543491
90062,55.500138088868134,74.42550213496943,45.04664267458988
90063,56.78880813646475,80.37197828770222,45.030378375061346
90064,59.28621550792329,86.8921581377037,45.02150717969441
90065,57.32629650393311,79.55591242159647,45.06562032307556
90066,56.33140422749712,78.18631508447115,45.029550104592815
90067,55.0166796875,73.52568054199219,45.00510787963867
90068,57.42179458503121,80.87133720783085,45.08586978403313
90069,56.28789392917981,75.90315381528856,45.10232281475406
90070,56.949992961711715,74.89395904541016,45.039268493652344
90071,57.83747620141807,88.33146667480469,45.164031982421875
90072,54.55339167668269,75.14945983886719,45.044708251953125
90075,56.949992961711715,74.89395904541016,45.039268493652344
90076,56.94999296171172,74.89395904541016,45.039268493652344
90077,55.54539872155854,74.42048232525026,45.029044959675986
90079,60.03803267045455,87.74371337890625,45.00510787963867
90082,60.551440135542165,89.14078521728516,45.083953857421875
90083,59.49783535513362,87.71440124511719,45.0064811706543
90086,60.01903572899505,86.2469482421875,45.06910705566406
90087,56.425786430702914,75.29173278808594,45.00922393798828
90089,58.99513405710173,89.80594635009766,45.010589599609375
90091,57.58808118882224,87.85330200195312,45.010589599609375
90095,55.885089405080215,72.82622528076172,45.00099182128906
90201,55.152200046846175,74.51383573492807,45.05727223715258
90202,52.50388911732456,68.4720230102539,45.286598205566406
90209,57.897702395260985,73.87211608886719,45.02700424194336
90210,54.923320913282424,71.926581376803,45.03530448563896
90211,55.581011419446746,74.31348843521424,45.023440119351
90212,55.24260224525618,73.22766616203883,45.10674442402201
90213,57.897702395260985,73.87211608886719,45.02700424194336
90220,56.753281849964054,76.95410886926629,45.025145928380866
90221,57.258796589857845,79.76797881796459,45.04933088996715
90222,56.208233567467204,76.23292078454622,45.030784147017194
90223,56.09613305817611,72.81260681152344,45.00510787963867
90224,56.79415030991736,74.5999526977539,45.00510787963867
90230,58.34264207898011,85.21388413740027,45.03272649643909
90231,58.71405284831846,88.87673187255861,45.00373840332031
90232,57.35341810382848,79.94090090486391,45.046419566190345
90239,55.04009004769076,74.01917266845703,45.07855987548828
90240,55.72834291098263,83.54573099915605,45.020453596062225
90241,55.38645533554245,74.11304778403445,45.04911317290974
90242,57.322978279651515,78.14758288731754,45.04652033747437
90245,55.15214086272478,76.19804813362015,45.06679563528727
90247,56.69305869599826,79.26234655390324,45.06353695606742
90248,57.36908029578,83.41951216694035,45.02816490439931
90249,57.1732227898609,76.91741517388186,45.02909105880636
90250,56.756129152740755,79.93145941915907,45.071039102559155
90251,55.48226686507937,74.97344207763672,45.06369781494141
90254,56.49334527311834,78.47485161150878,45.055846372798705
90255,54.720130645950036,71.87485139999491,45.090220976207426
90260,55.444856046623244,76.65794941354103,45.0201498918401
90262,59.02052737798772,83.42884441551377,45.037230592454584
90263,57.915254068283346,78.57694244384766,45.00099182128906
90265,57.44173902227728,78.8942870798494,45.003344039804055
90266,54.509399291126044,73.65553461371425,45.047682936446705
90267,55.0371409789644,79.09716796875,45.11616134643555
90270,54.73980569181311,71.53013465601647,45.081735117684545
90272,56.02682341894774,75.37326590132793,45.02485182495635
90274,54.635455420540374,73.04237709201438,45.009928521420285
90275,56.41640917257877,74.30090381975559,45.02391726019208
90277,56.20740314048418,78.7909649837794,45.02039861511291
90278,53.12321167454622,73.85692677451466,45.01818462008263
90280,54.23829058575483,70.08261706127097,45.12937273953257
90290,58.138963987800125,79.55062731864635,45.005699255801055
90291,55.099267454722415,73.7992939827339,45.02686806937017
90292,54.69522864523117,74.34191659714796,45.0263525916097
90293,56.20941302099032,76.14810506224633,45.03767269010092
90294,50.51967905405405,62.72537612915038,45.01606750488281
90296,55.58675181230407,73.04920959472656,45.05963134765625
90301,56.459794911548,79.0962293709508,45.0576399331598
90302,55.87258280977467,77.68295616250803,45.04974896434769
90303,56.124264547065216,75.45227950683514,45.048838151802556
90304,57.99863906708318,82.1430097145963,45.086525455528616
90305,56.48482539070094,75.08287697102244,45.020065599720354
90306,56.09594926350246,76.7824478149414,45.010589599609375
90307,56.095949263502455,76.7824478149414,45.010589599609375
90308,56.095949263502455,76.7824478149414,45.010589599609375
90309,56.02375636976833,76.66444213349453,45.011790230287055
90401,57.29876613428431,79.51674815486706,45.0095173593926
90402,53.69017503512853,72.05680394208495,45.066890796376825
90403,53.670156280085436,70.01328306062214,45.02477616564396
90404,57.05059067242809,79.338223203591,45.01273551993856
90405,54.38147927174425,77.69456684384835,45.02662913325826
90406,57.47313876868607,82.78982543945312,45.00236511230469
90408,56.378127639358105,75.17855834960938,45.011962890625
90409,54.732984375,75.44440460205078,45.00785446166992
90501,56.907996642179896,77.63939399249817,45.02167543035515
90502,56.98192185252988,86.95379257202148,45.04742622375488
90503,57.212983996602155,77.00377444309798,45.02739121777517
90504,58.73934464123234,83.58800877774225,45.04739460221371
90505,57.77208616162231,79.16923737002968,45.035694223254005
