zip_code,State,county_name,home_value
93458,CA,Santa Barbara County,607112.4775738595
92504,CA,Riverside County,604314.3100835558
93215,CA,Kern County,333850.6574879309
93063,CA,Ventura County,836646.1417413218
90813,CA,Los Angeles County,588877.3604724951
90744,CA,Los Angeles County,684715.9952832762
95023,CA,San Benito County,761922.9928990776
94109,CA,San Francisco County,1022825.9089339498
92129,CA,San Diego County,1384637.126630948
91786,CA,San Bernardino County,724294.3425442418
91762,CA,San Bernardino County,684989.6922306839
92056,CA,San Diego County,876164.2075605295
91406,CA,Los Angeles County,860259.4980348832
95648,CA,Placer County,646626.4091078122
95376,CA,San Joaquin County,598407.0318706558
92544,CA,Riverside County,462033.1632873825
92057,CA,San Diego County,817765.5868225697
93551,CA,Los Angeles County,593902.2153150778
90745,CA,Los Angeles County,767173.08060409
92646,CA,Orange County,1395359.0399962885
91913,CA,San Diego County,916098.59833294
91344,CA,Los Angeles County,1007284.6318127384
90002,CA,Los Angeles County,594950.6855428707
92618,CA,Orange County,1602994.5550594523
93117,CA,Santa Barbara County,1398091.1060903647
93312,CA,Kern County,458867.13049718615
95122,CA,Santa Clara County,1001672.8613205953
95350,CA,Stanislaus County,429525.24135041813
92840,CA,Orange County,986143.3366805118
93277,CA,Tulare County,374865.7516919074
91745,CA,Los Angeles County,965997.2772667328
92399,CA,San Bernardino County,574844.7853049708
93003,CA,Ventura County,908170.5486307186
92557,CA,Riverside County,569305.3569560748
91304,CA,Los Angeles County,939272.293398419
92243,CA,Imperial County,386685.73647380294
91801,CA,Los Angeles County,909457.286219186
93308,CA,Kern County,348314.4812010319
94539,CA,Alameda County,2257200.351927473
91405,CA,Los Angeles County,829786.188611441
90221,CA,Los Angeles County,643541.5316535407
90047,CA,Los Angeles County,692851.3746488261
92117,CA,San Diego County,1106525.3959964418
90723,CA,Los Angeles County,652760.4084095779
91605,CA,Los Angeles County,870030.8986730934
90063,CA,Los Angeles County,675448.3635551207
92870,CA,Orange County,1114240.032997761
95207,CA,San Joaquin County,408782.868203636
92833,CA,Orange County,993490.964159504
92656,CA,Orange County,1002236.0756799452
92505,CA,Riverside County,636779.263485394
92626,CA,Orange County,1440374.149174543
92024,CA,San Diego County,1890148.3481101585
94601,CA,Alameda County,551981.0645933117
95037,CA,Santa Clara County,1358138.839468693
90034,CA,Los Angeles County,1454104.840202814
94550,CA,Alameda County,1250692.427924281
95757,CA,Sacramento County,701369.0219416237
95116,CA,Santa Clara County,948443.0986216564
95616,CA,Yolo County,857241.9462516153
95124,CA,Santa Clara County,2005760.3667340225
92705,CA,Orange County,1600240.319037222
92701,CA,Orange County,696923.744547453
95351,CA,Stanislaus County,381130.96173687186
93638,CA,Madera County,362994.21404515527
92113,CA,San Diego County,656593.7012792832
90018,CA,Los Angeles County,841708.1967844344
92028,CA,San Diego County,890787.5951355606
94577,CA,Alameda County,811255.9677246964
90630,CA,Orange County,1082851.9470341122
92025,CA,San Diego County,850190.9002353884
92026,CA,San Diego County,836276.0860069975
92084,CA,San Diego County,914331.2869282998
92879,CA,Riverside County,696166.7679038944
91767,CA,Los Angeles County,697848.8501922205
92111,CA,San Diego County,969403.6318528876
93720,CA,Fresno County,497157.6496060428
92843,CA,Orange County,979077.5600078708
92886,CA,Orange County,1378870.399107962
92127,CA,San Diego County,1655380.191795105
92078,CA,San Diego County,1029709.1273937508
90703,CA,Los Angeles County,1095734.0875090088
92234,CA,Riverside County,485049.2730695288
90620,CA,Orange County,950261.9419115988
92064,CA,San Diego County,1240796.927258745
95240,CA,San Joaquin County,471691.7561961352
90046,CA,Los Angeles County,1478057.8400677198
92691,CA,Orange County,1232222.530295978
93311,CA,Kern County,474540.97133519134
93304,CA,Kern County,295347.4142576615
95136,CA,Santa Clara County,1402631.3248329607
94086,CA,Santa Clara County,1959743.1946456935
95336,CA,San Joaquin County,529475.6955407226
95148,CA,Santa Clara County,1573107.5609447155
90638,CA,Los Angeles County,890775.5237327152
92128,CA,San Diego County,1015405.4337636004
91306,CA,Los Angeles County,837033.8279756396
93619,CA,Fresno County,610761.1764848205
90220,CA,Los Angeles County,640525.1458700047
94560,CA,Alameda County,1253153.8282265917
94014,CA,San Mateo County,1011110.0153145256
92009,CA,San Diego County,1598085.8575588716
94546,CA,Alameda County,1039786.3865819966
95843,CA,Sacramento County,505361.2538626371
94553,CA,Contra Costa County,773998.0787543053
92374,CA,San Bernardino County,585321.2290672419
95060,CA,Santa Cruz County,1389865.2111000922
95008,CA,Santa Clara County,1945256.9266044032
92104,CA,San Diego County,964656.0799448777
94551,CA,Alameda County,1015799.3758373474
92122,CA,San Diego County,1102514.2674453636
90065,CA,Los Angeles County,1115368.4801663847
92692,CA,Orange County,1228786.088171649
94605,CA,Alameda County,665060.9843574566
90023,CA,Los Angeles County,642944.4837710821
90057,CA,Los Angeles County,562661.0855993574
93036,CA,Ventura County,793015.5261474065
94303,CA,San Mateo County,2140422.1538703837
95678,CA,Placer County,547614.2383719132
92410,CA,San Bernardino County,442793.6574924085
95822,CA,Sacramento County,437546.41135937977
90033,CA,Los Angeles County,667752.7661739787
91789,CA,Los Angeles County,1154650.8241043717
95610,CA,Sacramento County,511282.1358555064
92069,CA,San Diego County,907545.6597838956
92395,CA,San Bernardino County,414101.53785779414
91352,CA,Los Angeles County,816160.0735392178
93635,CA,Merced County,463419.2631790683
90027,CA,Los Angeles County,1817875.057973296
92821,CA,Orange County,1112587.1227195093
91790,CA,Los Angeles County,840559.5171328922
93292,CA,Tulare County,401420.9369186422
92648,CA,Orange County,1553153.6207409494
93455,CA,Santa Barbara County,716373.884352296
92040,CA,San Diego County,819280.7522473087
92109,CA,San Diego County,1500885.2267685102
95307,CA,Stanislaus County,455460.8781343038
90032,CA,Los Angeles County,808918.4820855893
93010,CA,Ventura County,921594.7301383726
93611,CA,Fresno County,498334.6294746893
92555,CA,Riverside County,615821.5500887377
93446,CA,San Luis Obispo County,773623.1645883629
90247,CA,Los Angeles County,756470.1791030584
95403,CA,Sonoma County,730080.6764579032
90242,CA,Los Angeles County,826677.7283589389
93454,CA,Santa Barbara County,628855.2872678494
93702,CA,Fresno County,256441.763091911
