zcta,median_household_income,poverty_rate,unemployment_rate
01118,80250.0,10.4,63.0
01119,57857.0,14.1,50.8
01128,100313.0,4.3,64.5
01129,97162.0,5.2,61.5
01144,,,
01151,55324.0,13.4,54.7
01201,71093.0,9.5,59.6
01220,58929.0,11.3,54.4
01222,71042.0,0.0,57.1
01223,86818.0,1.9,57.4
01224,76222.0,0.0,89.0
01225,69803.0,7.1,52.4
01226,79438.0,6.6,52.3
01229,,0.0,47.1
01230,86694.0,2.6,58.6
01235,79327.0,0.7,63.1
01236,111250.0,2.4,67.3
01237,90898.0,4.6,61.2
01238,84591.0,2.1,57.1
01240,107826.0,3.9,49.0
01242,,,0.0
01243,91250.0,7.3,63.3
01244,75833.0,0.0,49.8
01245,136875.0,0.0,48.1
01247,52330.0,9.5,52.3
01253,116806.0,0.8,70.5
01254,125893.0,1.3,55.1
01255,91111.0,0.8,63.3
01256,61328.0,9.7,53.6
01257,102788.0,1.8,67.7
01258,142500.0,0.0,58.0
01259,158125.0,0.0,64.4
01260,,0.0,100.0
01262,145750.0,3.3,58.4
01264,93750.0,3.2,53.3
01266,100417.0,7.3,61.0
01267,106375.0,6.0,55.7
01270,116375.0,0.0,65.1
01301,56176.0,9.5,54.8
01330,83493.0,6.6,58.2
01331,72181.0,11.6,58.7
01337,85045.0,1.9,63.4
01338,50521.0,0.0,60.0
01339,68365.0,5.2,46.9
01340,78804.0,1.8,59.1
01341,97417.0,2.2,63.5
01342,109205.0,18.0,68.3
01343,69375.0,9.6,50.0
01344,77656.0,2.7,63.2
01346,113650.0,2.8,70.5
01347,72467.0,0.0,81.6
01349,75033.0,13.5,65.2
01350,,27.6,33.3
01351,98229.0,4.8,55.7
01354,90208.0,3.8,64.2
01355,82713.0,11.1,70.5
01360,103375.0,2.9,62.4
01364,55532.0,15.3,52.5
01366,110750.0,4.2,53.1
01367,72813.0,7.3,50.9
01368,102500.0,5.8,58.9
01370,81008.0,6.4,54.4
01373,106413.0,5.8,68.2
01375,68083.0,0.0,67.2
01376,55652.0,9.2,62.7
01378,93333.0,2.1,60.6
01379,59583.0,10.9,53.6
01380,73472.0,,66.7
01420,72780.0,12.4,61.7
01430,118683.0,4.8,56.8
01431,115598.0,1.8,64.7
01432,101966.0,6.1,69.2
01434,162143.0,2.9,21.9
01436,77721.0,6.9,54.4
01438,,0.0,75.3
01440,67440.0,10.9,54.7
01450,193292.0,2.1,66.3
01451,214792.0,2.6,64.8
01452,123500.0,1.5,65.0
01453,84296.0,5.9,63.5
01460,149722.0,4.3,64.6
01462,112992.0,2.2,63.9
01463,123911.0,3.7,65.8
01464,122365.0,3.9,49.8
01468,113427.0,6.4,66.3
01469,103801.0,8.0,64.1
01473,106331.0,0.7,62.9
01474,136371.0,4.6,63.2
01475,76552.0,13.1,56.5
01501,116762.0,4.4,65.5
01503,121336.0,1.0,63.6
01504,94191.0,4.5,67.6
01505,140962.0,2.2,62.4
01506,81250.0,2.1,60.6
01507,117587.0,1.4,62.9
01510,89781.0,6.5,69.8
01515,81042.0,6.7,58.9
01516,153172.0,2.7,66.6
01518,136111.0,8.2,68.5
01519,178263.0,4.6,69.6
01520,148125.0,2.4,64.9
01521,91979.0,2.5,59.2
01522,100625.0,3.8,58.9
01523,134833.0,1.7,54.7
01524,102099.0,4.5,65.1
01525,,,
01527,118790.0,2.6,65.4
01529,127188.0,1.7,71.4
01531,99500.0,5.9,54.3
01532,153199.0,2.5,67.0
01534,141250.0,2.3,67.7
01535,79285.0,11.8,67.8
01536,115938.0,3.8,62.9
01537,102956.0,3.9,72.4
01540,110579.0,4.8,62.1
01541,158750.0,4.8,68.6
01542,96111.0,1.0,53.8
01543,145707.0,0.4,62.5
01545,139302.0,2.2,65.5
01550,66287.0,10.8,61.3
01560,107031.0,3.0,73.0
01561,,,
01562,80533.0,3.2,57.1
01564,129063.0,3.3,61.9
01566,137730.0,0.5,65.2
01568,160417.0,1.4,63.5
01569,124222.0,1.0,67.5
01570,72895.0,9.9,61.4
01571,84604.0,5.3,57.3
01581,141944.0,3.8,66.4
01583,106094.0,2.4,55.1
01585,87857.0,6.2,56.3
01588,92486.0,12.7,68.2
01590,147015.0,5.5,73.1
01602,91764.0,10.7,65.0
01603,66049.0,12.6,62.4
01604,73505.0,16.0,64.2
01605,54642.0,16.7,55.9
01606,92105.0,6.1,68.5
01607,78727.0,6.3,65.1
01608,45687.0,39.0,56.2
01609,68381.0,8.8,53.3
01610,51472.0,22.6,55.9
01611,109868.0,4.0,71.1
01612,134083.0,0.8,63.7
01701,137094.0,2.9,68.2
01702,82496.0,11.1,68.9
01718,104167.0,0.0,56.5
01719,144611.0,1.7,71.2
01720,159010.0,1.5,66.7
01721,127539.0,2.4,67.1
01730,172400.0,3.4,63.4
01731,104688.0,0.0,30.0
01740,205449.0,2.2,67.8
01741,,0.0,59.9
01742,195125.0,3.6,50.8
01745,185994.0,0.0,66.7
01746,159817.0,1.7,66.4
01747,115722.0,0.9,66.2
01748,222801.0,2.0,71.9
01749,103400.0,2.8,64.0
01752,91968.0,6.6,68.3
01754,124067.0,8.1,67.3
01756,132256.0,4.1,65.9
01757,96621.0,4.0,67.6
01760,138563.0,3.1,67.7
01770,,2.9,66.3
01772,201568.0,3.5,68.7
01773,209327.0,2.9,52.6
01775,185809.0,4.0,66.3
01776,236509.0,2.5,61.1
01778,219375.0,4.1,64.1
01801,111185.0,5.3,67.9
01803,146436.0,3.2,64.2
01810,172606.0,1.2,66.7
01821,149042.0,2.9,69.7
01824,140050.0,3.6,63.4
01826,114196.0,5.8,64.8
01827,208512.0,0.5,70.6
01830,78571.0,9.7,61.2
01832,83041.0,9.6,64.1
01833,153750.0,3.4,65.5
01834,141487.0,3.2,67.8
01835,113578.0,4.5,72.2
01840,42211.0,18.3,60.2
01841,56971.0,15.4,59.3
01843,67585.0,11.6,70.2
01844,113212.0,5.4,65.4
01845,140670.0,4.2,64.9
01850,69780.0,16.3,63.5
01851,92401.0,12.6,65.5
01852,80906.0,11.6,63.7
01854,72709.0,12.1,62.0
01860,123054.0,8.5,68.1
01862,138571.0,2.1,62.9
01863,144875.0,0.8,70.0
01864,147768.0,1.0,67.6
01867,165912.0,1.8,64.9
01876,130204.0,1.2,66.0
01879,129348.0,4.3,67.2
01880,134306.0,3.3,67.5
01886,187198.0,2.9,67.3
01887,168152.0,3.1,68.4
01890,230198.0,3.6,65.0
01901,36119.0,44.8,57.0
01902,67046.0,13.5,61.0
01904,99614.0,5.7,65.5
01905,84333.0,11.6,67.5
01906,101539.0,4.9,62.3
01907,134386.0,4.0,62.5
01908,112762.0,4.8,56.4
01913,103554.0,4.7,68.1
01915,104918.0,6.9,64.3
01921,200672.0,1.0,63.0
01922,142207.0,0.0,67.6
01923,125395.0,2.9,66.0
01929,156442.0,7.8,72.1
01930,83883.0,5.3,59.7
01937,,,0.0
01938,138750.0,2.7,67.0
01940,173214.0,4.2,66.3
01944,206389.0,0.7,58.1
01945,179583.0,2.4,64.6
01949,167402.0,0.4,58.3
01950,139625.0,2.8,62.6
01951,182684.0,4.0,63.9
01952,93361.0,2.7,59.3
01960,96501.0,5.9,62.0
01965,,0.0,76.9
01966,96250.0,2.2,51.4
01969,132734.0,3.1,70.3
01970,85041.0,10.1,66.7
01982,132571.0,6.8,64.6
01983,195718.0,4.2,64.3
01984,194781.0,0.5,62.4
01985,179500.0,0.6,67.7
02019,125307.0,4.2,67.4
02021,143381.0,4.7,63.1
02025,199306.0,1.7,62.8
02026,128955.0,3.1,68.0
02030,,1.7,64.5
02032,180682.0,2.7,72.3
02035,115833.0,3.8,65.1
02038,145773.0,3.9,67.5
02043,178390.0,2.0,56.3
02045,115485.0,2.6,66.4
02047,106333.0,0.0,66.7
02048,125273.0,4.1,68.3
02050,126241.0,5.3,67.0
02052,235800.0,0.4,67.5
02053,173750.0,1.1,73.0
02054,155996.0,2.6,65.0
02056,200720.0,1.9,56.6
02061,188699.0,2.5,67.1
02062,107030.0,6.5,68.2
02066,136689.0,1.7,62.5
02067,192314.0,2.7,68.4
02071,213885.0,0.0,83.2
02072,104794.0,5.1,65.1
02081,156250.0,3.7,66.6
02090,223125.0,3.6,62.1
02093,151676.0,4.0,60.4
02108,212928.0,7.9,57.2
02109,158843.0,3.0,79.7
02110,138438.0,7.6,54.6
02111,87404.0,21.0,56.7
02113,113314.0,4.5,84.8
02114,132210.0,4.7,75.5
02115,54991.0,24.6,47.2
02116,126496.0,8.0,61.2
02118,98224.0,19.4,59.5
02119,48488.0,16.7,56.9
02120,64289.0,22.3,55.6
02121,43136.0,22.2,56.7
02122,86150.0,9.8,62.3
02124,81923.0,14.5,66.1
02125,82953.0,18.5,64.2
02126,65709.0,12.9,62.7
02127,164387.0,13.4,79.0
02128,90106.0,9.9,72.9
02129,157247.0,6.6,77.0
02130,131551.0,5.4,73.2
02131,111006.0,5.9,69.1
02132,138724.0,2.2,68.7
02133,,0.0,54.3
02134,78679.0,9.6,72.4
02135,90829.0,10.6,71.3
02136,96737.0,9.3,62.7
02138,119967.0,6.6,59.3
02139,134586.0,7.6,68.9
02140,135286.0,6.1,73.7
02141,126522.0,10.8,71.9
02142,147723.0,3.2,72.3
02143,130753.0,4.8,80.5
02144,150313.0,4.3,78.8
02145,123755.0,7.8,74.7
02148,100606.0,7.6,68.3
02149,85218.0,14.3,68.4
02150,72179.0,15.4,62.0
02151,86969.0,8.7,64.3
02152,116167.0,5.1,63.1
02155,129700.0,3.6,67.5
02163,84583.0,29.1,37.0
02169,96290.0,7.7,66.1
02170,103627.0,7.0,64.1
02171,106885.0,6.5,67.2
02176,133953.0,2.5,65.9
02180,113964.0,5.1,68.1
02184,122214.0,3.8,67.0
02186,188033.0,2.5,64.2
02188,107335.0,6.7,64.1
02189,94541.0,5.9,65.0
02190,99657.0,4.3,67.3
02191,120324.0,3.1,61.7
02199,122285.0,0.0,68.6
02203,,,
02205,,,
02210,172124.0,1.0,85.3
02215,72095.0,6.5,50.8
02301,74214.0,11.3,60.2
02302,92274.0,7.1,65.1
02322,130625.0,3.0,71.1
02324,112726.0,2.3,59.8
02325,,0.0,51.7
02330,91250.0,4.9,60.1
02332,176583.0,5.2,59.8
02333,133741.0,2.5,69.4
02338,118556.0,0.7,64.4
02339,189803.0,3.3,66.1
02341,132250.0,0.3,65.0
02343,115032.0,1.9,67.6
02346,97056.0,3.4,63.2
02347,133984.0,1.9,70.7
02350,,0.0,56.5
02351,125400.0,3.6,70.8
02356,127224.0,4.5,60.5
02357,,,34.2
02359,146285.0,0.7,66.4
02360,116941.0,4.4,60.4
02364,119876.0,0.8,69.6
02366,,,0.0
02367,126736.0,8.7,64.6
02368,109665.0,4.8,62.8
02370,112405.0,5.6,68.5
02375,120903.0,2.9,70.4
02379,123406.0,4.3,67.1
02382,108933.0,8.4,67.9
02420,245031.0,2.4,65.9
02421,227813.0,4.0,58.7
02445,139747.0,4.5,74.6
02446,131963.0,2.4,69.7
02451,122335.0,3.5,66.8
02452,118431.0,5.2,59.3
02453,115366.0,4.9,68.6
02457,,,38.9
02458,153520.0,4.2,67.6
02459,227594.0,2.3,61.9
02460,177837.0,1.7,62.6
02461,224000.0,3.3,70.3
02462,216339.0,0.0,57.8
02464,105729.0,9.2,67.7
02465,194265.0,3.2,72.5
02466,170089.0,3.2,61.2
02467,169104.0,3.3,56.5
02468,,0.5,58.0
02472,126336.0,4.2,68.6
02474,150560.0,3.2,74.4
02476,151131.0,4.8,68.3
02478,183137.0,2.5,65.3
02481,,1.1,57.6
02482,226250.0,4.0,57.1
02492,226645.0,3.6,63.3
02493,,3.4,56.5
02494,179720.0,1.5,67.8
02532,87773.0,4.3,59.8
02534,137066.0,0.0,48.0
02535,153966.0,0.2,56.5
02536,100497.0,3.3,55.3
02537,136506.0,8.9,62.0
02538,123750.0,2.4,58.1
02539,125236.0,3.1,61.1
02540,77295.0,8.6,43.7
02542,62083.0,0.0,34.6
02543,72349.0,0.0,37.5
02553,,,0.0
02554,140938.0,0.4,69.2
02556,121810.0,0.0,47.5
02557,,0.0,26.4
02558,79598.0,0.0,49.3
02559,90855.0,0.0,52.9
02561,,0.0,76.4
02562,120000.0,2.4,67.3
02563,121455.0,4.6,63.2
02564,,42.0,36.9
02568,115417.0,1.4,72.7
02571,94265.0,2.8,57.1
02575,173417.0,0.0,58.6
02576,63021.0,14.4,57.1
02584,,,100.0
02601,61143.0,9.2,64.6
02630,116895.0,0.0,50.5
02631,102132.0,1.6,47.1
02632,121317.0,4.2,57.2
02633,85483.0,9.9,43.2
02635,110197.0,3.7,53.5
02637,,0.0,45.8
02638,108726.0,2.3,49.4
02639,72567.0,5.7,64.7
02641,,13.6,38.6
02642,72992.0,3.9,45.2
02643,,,
02644,108158.0,0.0,63.2
02645,104401.0,1.1,57.8
02646,81172.0,2.1,55.1
02647,,0.0,53.8
02648,129681.0,0.0,62.7
02649,95299.0,3.2,54.8
02650,66548.0,8.3,35.7
02652,,0.0,55.9
02653,102813.0,2.5,43.8
02655,118750.0,3.0,55.0
02657,136904.0,1.2,64.7
02659,109453.0,0.0,52.0
02660,93386.0,2.8,49.9
