zip_code,zcta
36269,36269.0
36273,36273.0
36323,36323.0
36330,36330.0
36331,36330.0
36346,36346.0
36351,36351.0
36453,36453.0
35616,35616.0
35646,35646.0
35660,35660.0
35661,35661.0
35662,35661.0
35674,35674.0
36401,36401.0
36429,36401.0
36432,36432.0
36454,36454.0
36473,36473.0
36475,36475.0
35072,35072.0
35089,35089.0
35136,35136.0
35183,35183.0
36026,36026.0
36038,36038.0
36420,36420.0
36442,36442.0
36455,36455.0
36467,36467.0
36474,36474.0
36476,36476.0
36483,36483.0
36009,36009.0
36028,36028.0
36034,36034.0
36041,36041.0
36042,36042.0
36049,36049.0
36062,36049.0
36071,36071.0
35019,35019.0
35033,35033.0
35053,35053.0
35055,35055.0
35056,35055.0
35057,35057.0
35058,35058.0
35070,35070.0
35077,35077.0
35083,35083.0
35087,35087.0
35098,35098.0
35179,35179.0
36311,36311.0
36317,36317.0
36322,36322.0
36350,36350.0
36352,36352.0
36360,36360.0
36361,36360.0
36362,36362.0
36371,36371.0
36374,36374.0
36701,36701.0
36702,36701.0
36703,36703.0
36758,36758.0
36759,36759.0
36761,36761.0
36767,36767.0
36773,36773.0
36775,36775.0
36785,36785.0
35961,35961.0
35962,35962.0
35963,35963.0
35967,35967.0
35968,35968.0
35971,35971.0
35974,35974.0
35975,35975.0
35978,35978.0
35981,35981.0
35984,35984.0
35986,35986.0
35988,35988.0
35989,35989.0
36020,36020.0
36022,36022.0
36024,36024.0
36025,36025.0
36045,36078.0
36054,36054.0
36078,36078.0
36080,36080.0
36092,36092.0
36093,36093.0
36426,36426.0
36427,36426.0
36441,36441.0
36502,36502.0
36503,36502.0
36504,36502.0
36543,36543.0
35901,35901.0
35902,35901.0
35903,35903.0
35904,35904.0
35905,35905.0
35906,35906.0
35907,35907.0
35952,35952.0
35954,35954.0
35972,35972.0
35990,35990.0
35542,35542.0
35545,35545.0
35546,35546.0
35555,35555.0
35559,35559.0
35571,35571.0
35581,35581.0
35582,35582.0
35585,35585.0
35593,35593.0
35653,35653.0
35654,35654.0
36313,36313.0
36314,36314.0
36316,36316.0
36318,36318.0
36340,36340.0
36344,36344.0
36349,36375.0
36375,36375.0
36477,36477.0
35443,35443.0
35448,35462.0
35462,35462.0
35469,35469.0
35491,35462.0
36740,36740.0
35441,35441.0
35474,35474.0
36742,36742.0
36744,36744.0
36765,36765.0
36776,36776.0
36310,36310.0
36345,36345.0
36353,36353.0
36373,36373.0
36301,36301.0
36302,36301.0
36303,36303.0
36304,36301.0
36305,36305.0
36312,36312.0
36319,36319.0
36320,36320.0
36321,36321.0
36343,36343.0
36370,36370.0
36376,36376.0
35740,35740.0
35744,35744.0
35745,35745.0
35746,35746.0
35751,35751.0
35752,35752.0
35755,35755.0
35764,35764.0
35765,35765.0
35766,35766.0
35768,35768.0
35769,35769.0
35771,35771.0
35772,35772.0
35774,35774.0
35776,35776.0
35958,35958.0
35966,35966.0
35979,35979.0
35005,35005.0
35006,35006.0
35015,35210.0
35020,35020.0
35021,35224.0
35022,35022.0
35023,35023.0
35036,35036.0
35048,35126.0
35060,35060.0
35061,35061.0
35064,35064.0
35068,35068.0
35071,35071.0
35073,35073.0
35091,35091.0
35094,35094.0
35111,35111.0
35116,35116.0
35117,35117.0
35118,35118.0
35119,35119.0
35123,35126.0
35126,35126.0
35127,35127.0
35139,35139.0
35142,35022.0
35172,35172.0
35173,35173.0
35180,35180.0
35181,35224.0
35201,35203.0
35202,35203.0
35203,35203.0
35204,35204.0
35205,35205.0
35206,35206.0
35207,35207.0
35208,35208.0
35209,35209.0
35210,35210.0
35211,35211.0
35212,35212.0
35213,35213.0
35214,35214.0
35215,35215.0
35216,35216.0
35217,35217.0
35218,35218.0
35219,35224.0
35220,35224.0
35221,35221.0
35222,35222.0
35223,35223.0
35224,35224.0
35226,35226.0
35228,35228.0
35229,35229.0
35231,35224.0
35232,35224.0
35233,35233.0
35234,35234.0
35235,35235.0
35236,35224.0
35237,35203.0
35238,35224.0
35243,35243.0
35244,35244.0
35246,35203.0
35249,35203.0
35253,35224.0
35254,35254.0
35255,35224.0
35259,35224.0
35260,35224.0
35261,35224.0
35266,35226.0
35270,35203.0
35282,35224.0
35283,35203.0
35285,35224.0
35287,35203.0
35288,35228.0
35290,35224.0
35291,35203.0
35292,35203.0
35293,35224.0
35294,35224.0
35295,35203.0
35296,35224.0
35297,35224.0
35298,35224.0
35544,35544.0
35552,35552.0
35574,35574.0
35576,35576.0
35586,35586.0
35592,35592.0
35610,35610.0
35617,35633.0
35630,35630.0
35631,35633.0
35632,35633.0
35633,35633.0
35634,35634.0
35645,35645.0
35648,35648.0
35652,35652.0
35677,35677.0
35618,35618.0
35643,35643.0
35650,35650.0
35651,35651.0
35672,35672.0
36801,36801.0
36802,36804.0
36803,36801.0
36804,36804.0
36830,36830.0
36831,36830.0
36832,36832.0
36849,36849.0
36865,36865.0
36872,36804.0
36874,36874.0
36877,36877.0
36879,36879.0
35611,35611.0
35612,35611.0
35613,35613.0
35614,35614.0
35615,35615.0
35620,35620.0
35647,35647.0
35649,35649.0
35671,35671.0
35739,35739.0
35742,35749.0
36032,36032.0
36040,36040.0
36047,36047.0
36752,36752.0
36031,36031.0
36039,36039.0
36075,36075.0
36083,36083.0
36087,36083.0
36088,36088.0
36866,36866.0
35741,35741.0
35748,35748.0
35749,35749.0
35750,35750.0
35756,35756.0
35757,35757.0
35758,35758.0
35759,35759.0
35760,35760.0
35761,35761.0
35762,35811.0
